Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	"Attributes (Reference only, do not change these values)"
창병	창병	0	0	0	0	0	0	60	100	80	14	0	10	4	4	5	1	3	0	0	20	50		0
도끼창병	도끼창병	0	0	0	0	0	0	75	115	115	14	0	10	5	6	5	2	3	0	0	20	30		0
궁수	궁수	0	0	0	0	0	0	100	115	126	9	0	10	4	6	3	2	3	12	0	16	30		SHOOTING_ARMY
저격수	저격수	0	0	0	0	0	0	150	115	184	9	0	10	6	6	3	2	3	24	0	16	25	두번 사격.	const_two_attacks | SHOOTING_ARMY
그리핀	그리핀	0	0	0	0	0	0	200	324	351	7	3	25	6	8	8	3	6	0	0	12	25	두번 반격.	DOUBLE_WIDE | FLYING_ARMY
로얄 그리핀	로얄 그리핀	0	0	0	0	0	0	240	364	448	7	3	25	9	9	9	3	6	0	0	12	20	무제한 반격.	DOUBLE_WIDE|FLYING_ARMY
검사	검사	0	0	0	0	0	0	300	445	445	4	0	35	5	10	12	6	9	0	0	10	20		0
크루세이더	크루세이더	0	0	0	0	0	0	400	588	588	4	0	35	6	12	12	7	10	0	0	10	16	두번 공격.	const_two_attacks
수도사	수도사	0	0	0	0	0	0	400	485	485	3	0	30	5	12	7	10	12	12	0	8	16		SHOOTING_ARMY
열성 수도사	열성 수도사	0	0	0	0	0	0	450	500	750	3	0	30	7	12	10	10	12	24	0	8	12	근접전 벌칙 없음.	SHOOTING_ARMY | const_no_melee_penalty
기사단	기사단	0	0	0	0	0	0	1000	1668	1946	2	0	100	7	15	15	15	25	0	0	5	12	돌진 보너스.	DOUBLE_WIDE | const_jousting
챔피언	챔피언	0	0	0	0	0	0	1200	1800	2100	2	0	100	9	16	16	20	25	0	0	5	10	돌진 보너스.	DOUBLE_WIDE | const_jousting
천사	천사	0	0	0	0	0	1	3000	3585	5019	1	0	200	12	20	20	50	50	0	0	4	10	사탄을 증오.	FLYING_ARMY | const_raises_morale | KING_2
