경비숙소	창병 생산
궁수초소	궁수 생산
그리핀 타워	그리핀 생산
병영	검사 생산
수도원	수도사 생산
연병장	기사 생산
천상의 문	천사 생산
향상된 경비숙소	도끼창병 생산
향상된 궁수초소	저격수 생산
향상된 그리핀 타워	로열 그리핀 생산
향상된 병영	크루세이더 생산
향상된 수도원	열성 수도사 생산
향상된 연병장	챔피언 생산
향상된 천상의 문	대천사 생산
켄타우루스 마구간	켄타우루스 생산
드워프 오두막	드워프 생산
농가	엘프 생산
마법 샘물	페가수스 생산
덴드로이드 아치	덴드로이드 경비
유니콘 목초지	유니콘 생산
드래곤 계곡	그린 드래곤 생산
향상된 켄타우루스 마구간	켄타우루스 지휘관 생산
향상된 드워프 오두막	드워프 전사 생산
향상된 농가	그랜드 엘프 생산
향상된 마법 샘물	은빛 페가수스 생산
향상된 덴드로이드 아치	덴드로이드 투사 생산
향상된 유니콘 목초지	전투 유니콘 생산
향상된 드래곤 계곡	골드 드래곤 생산
작업장	그렘린 생산
파라펫	바위 가고일 생산
골렘 공장	바위 골렘 생산
현자의 탑	마법사 생산
소원의 제단	지니 생산
황금사원	나가 생산
구름의 사원	자이언트 생산
향상된 작업장	마스터 그렘린 생산
향상된 파라펫	흑단 가고일 생산
향상된 골렘 공장	강철 골렘 생산
향상된 현자의 탑	대마법사 생산
향상된 소원의 제단	마스터 지니 생산
향상된 황금사원	나가 여왕 생산
향상된 구름의 사원	타이탄 생산
임프 훈련장	임프 생산
악의 전당	고그 생산
개 사육장	지옥의 개 생산
데몬 게이트	데몬 생산
지옥의 심연	핏 핀드 생산
화염 호수	이프리트 생산
타락한 궁전	사탄 생산
향상된 임프 훈련장	마녀 임프 생산
향상된 악의 전당	마고그 생산
향상된 개 사육장	케르베로스 생산
향상된 데몬 게이트	뿔 데몬 생산
향상된 지옥의 심연	심연의 군주 생산
향상된 화염 호수	이프리트 술탄 생산
향상된 타락한 궁전	대사탄 생산
저주받은 사원	해골병사 생산
공동묘지	걸어다니는 시체 생산
영혼의 무덤	와이트 생산
저택	뱀파이어 생산
모슬렘	리치 생산
암흑의 전당	흑기사 생산
드래곤 묘실	해골 드래곤 생산
향상된  저주받은 사원	해골전사 생산
향상된 공동묘지	좀비 생산
향상된 영혼의 무덤	레이스 생산
향상된 저택	뱀파이어 군주 생산
향상된 모슬렘	파워 리치 생산
향상된 암흑의 전당	공포의 기사 생산
향산된 드래곤 묘실	유령 드래곤 생산
사육장	동굴인 생산
하피 둥지	하피 생산
주시의 기둥	주시자 생산
침묵의 회당	메두사 생산
미궁	미노타우르스 생산
만티코어 동굴	만티코어 생산
드래곤 동굴	레드 드래곤 생산
향상된 사육장	지옥의 동굴인 생산
향상된 하피 둥지	마녀 하피 생산
향상된 주시의 기둥	악마의 눈 생산
향상된 침묵의 회당	메두사 여왕 생산
향상된 미궁	미노타우르스 왕 생산
향상된 만티코어 동굴	스콜피코어 생산
향상된 드래곤 동굴	블랙 드래곤 생산
고블린 병영	고블린 생산
늑대 우리	늑대 기병대 생산
오크 타워	오크 생산
오우거 요새	오우거 생산
절벽위 둥지	괴조 생산
싸이클롭스 동굴	싸이클롭스 생산
베히모스 동굴	베히모스 생산
향상된 고블린 병영	홉고블린 생산
향상된 늑대 우리	늑대 돌격대 생산
향상된 오크 타워	오크 대장 생산
향상된 오우거 요새	오우거 마법사 생산
향상된 절벽위 둥지	썬더버드 생산
향상된 싸이클롭스 동굴	싸이클롭스 왕 생산
향상된 베히모스 소굴	전설의 베히모스 생산
놀 오두막	놀 생산
도마뱀 굴	도마뱀 생산
서펀트 플라이 둥지	서펀트 플라이 생산
바실리스크 구덩이	바실리스크 생산
고르곤 동굴	고르곤 생산
와이번 둥지	와이번 생산
히드라 연못	히드라 생산
향상된 놀 오두막	놀 약탈자 생산
향상된 도마뱀 굴	도마뱀 전사 생산
향상된 서펀트 플라이 둥지	드래곤 플라이 생산
향상된 바실리스크 구덩이	거대한 바실리스크 생산
향상된 고르곤 동굴	강력한 고르곤 생산
향상된 와이번 둥지	와이번 군주 생산
향상된 히드라 연못	카오스 히드라 생산
마법의 랜턴	픽시 생산
바람의 제단	바람의 정령 생산
물의 제단	물의 정령 생산
불의 제단	불의 정령 생산
대지의 제단	대지의 정령 생산
정신의 제단	정신의 정령 생산
파이어	불새 생산
향상된 마법의 랜턴	스프라이트 생산
향상된 바람의 제단	폭풍의 정령 생산
향상된 물의 제단	얼음의 정령 생산
향상된 불의 제단	에너지 정령 생산
향상된 대지의 제단	마그마의 정령 생산
향상된 정신의 제단	마법의 정령 생산
향상된 파이어	피닉스 생산
1 레벨 유닛 제조기	1 레벨 유닛 생산
2레벨 유닛 제조기	2 레벨 유닛 생산
3레벨 유닛 제조기	3 레벨 유닛 생산
4레벨 유닛 제조기	4 레벨 유닛 생산
5레벨 유닛 제조기	5 레벨 유닛 생산
6레벨 유닛 제조기	6 레벨 유닛 생산
7레벨 유닛 제조기	7 레벨 유닛 생산
향상된 1 레벨 유닛제조기	향상된 1 레벨 유닛 생산
향상된 2 레벨 유닛제조기	향상된 2 레벨 유닛 생산
향상된 3 레벨 유닛제조기	향상된 3 레벨 유닛 생산
향상된 4 레벨 유닛제조기	향상된 4 레벨 유닛 생산
향상된 5 레벨 유닛제조기	향상된 5 레벨 유닛 생산
향상된 6 레벨 유닛제조기	향상된 6 레벨 유닛 생산
향상된 7 레벨 유닛제조기	향상된 7 레벨 유닛 생산
