			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																	
Adventure Spells																																	
																																	
배 소환	배 소환	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{배 소환}

아군의 빈 배를 영웅이 있는 곳으로 소환합니다.

성공할 확률은 50% 입니다.
"	"{초급 배 소환}

아군의 빈 배를 영웅이 있는 곳으로 소환합니다.

성공할 확률은 50% 입니다.
"	"{중급 배 소환}

아군의 빈 배를 영웅이 있는 곳으로 소환합니다. 만약 배가 없으면 하나를 만들어 냅니다.

성공할 확률은 75% 입니다.
"	"{고급 배 소환}

아군의 빈 배를 영웅이 있는 곳으로 소환합니다. 만약 배가 없으면 하나를 만들어 냅니다."	 ADV_SPELL
침몰	침몰	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{침몰}

배를 침몰시킵니다. 함부로 사용하지 마세요. 그 효과는 영원하니까요.

성공율 50%.
"	"{초급 침몰}

배를 침몰시킵니다. 함부로 사용하지 마세요. 그 효과는 영원하니까요.

성공율 50%.
"	"{중급 침몰}

배를 침몰시킵니다. 함부로 사용하지 마세요. 그 효과는 영원하니까요.

성공율 75%.
"	"{고급 침몰}

배를 침몰시킵니다. 함부로 사용하지 마세요. 그 효과는 영원하니까요."	 ADV_SPELL
예견	예견	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{예견}

당신에게 적대적인 세력의 규모에 대한 기본적인 정보를 보여줍니다.
"	"{초급 예견}

당신에게 적대적인 세력의 규모에 대한 기본적인 정보를 보여줍니다. 근처에 중립 유닛의 부대가 있을 경우에는, 그들의 정확한 규모와 그들이 당신에게 합류할지의 여부도 알려줍니다.
"	"{중급 예견}

당신에게 적대적인 세력의 규모에 대한 기본적인 정보를 보여줍니다. 근처에 중립 유닛의 부대가 있을 경우에는, 그들의 정확한 규모와 그들이 당신에게 합류할지의 여부도 알려줍니다. 근처에 있는 적 영웅의 주요 능력, 부대의 구성 및 규모까지도 알 수 있습니다.
"	"{고급 예견}


당신에게 적대적인 세력의 규모에 대한 기본적인 정보를 보여줍니다.  근처에 중립 유닛의 부대가 있을 경우에는, 그들의 정확한 규모와 그들이 당신에게 합류할지의 여부도 알려줍니다. 근처에 있는 적 영웅의 주요 능력, 부대의 구성 및 규모까지도 알 수 있습니다. 또한 근처에 위치한 마을이나 요새의 정보와 수비부대의 규모 및 편성까지 알 수 있습니다.
"	 ADV_SPELL
대지 조망	대지 조망	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{대지 조망}

모든 자원의 위치를 보여줍니다.
"	"{초급 대지 조망}

모든 자원의 위치를 보여줍니다.
"	"{중급 대지 조망}

모든 자원과 광산의 위치를 보여줍니다.
"	"{고급 대지 조망}

모든 자원과 광산의 위치, 그리고 모든 지형을 보여줍니다.
"	 ADV_SPELL
위장	위장	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{위장}

당신의 영웅을 조사하려는 적에게 거짓 정보를 제공합니다.
"	"{초급 위장}

당신의 부대에 소속된 유닛들은 적에게 가장 강한 유닛으로 보이게 됩니다. 단, 각 부대의 유닛 숫자는 변하지 않습니다.
"	"{중급 위장}

당신의 부대에 소속된 유닛들은 적에게 가장 강한 유닛으로 보이게 됩니다. 각 부대의 유닛 숫자는 0으로 변합니다.
"	"{고급 위장}

당신의 부대에 소속된 유닛들은 현재 영웅의 유형에 맞는 가장 강한 유닛으로 적에게 보이게 됩니다. 각 부대의 유닛 숫자는 0으로 변합니다.
"	 ADV_SPELL
대기 조망	대기 조망	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{대기 조망}

남아있는 아티팩트들의 위치를 알려줍니다.
"	"{초급 대기 조망}

남아있는 아티팩트들의 위치를 알려줍니다.
"	"{중급 대기 조망}

남아있는 아티팩트들의 위치와 적 영웅의 위치를 알려줍니다.
"	"{고급 대기 조망}

남아있는 아티팩트들의 위치와 적의 영웅의 위치, 그리고 각 마을의 위치까지 알려줍니다.
"	 ADV_SPELL
