	Description		
Name	Basic	Advanced	Expert
탐색술	"{초급 탐색술}

초급 탐색술은 거친 지형을 이동할 때 이동력의 소모를 25% 줄여 줍니다."	"{중급 탐색술}

중급 탐색술은 거친 지형을 이동할 때 이동력의 소모를 50% 줄여 줍니다."	"{고급 탐색술}

고급 탐색술은 거친 지형을 이동할 때 이동력의 소모를 75% 줄여 줍니다."
궁술	"{초급 궁술}

초급 궁술은 장거리 공격 유닛의 데미지를 10% 증가시켜 줍니다."	"{중급 궁술}

중급 궁술은 장거리 공격 유닛의 데미지를 25% 증가시켜 줍니다."	"{고급 궁술}

고급 궁술은 장거리 공격 유닛의 데미지를 50% 증가시켜 줍니다."
병참술	"{초급 병참술}

초급 병참술은 지상에서의 이동력을 10% 증가시켜 줍니다."	"{중급 병참술}

중급 병참술은 지상에서의 이동력을 20% 증가시켜 줍니다."	"{고급 병참술}

고급 병참술은 지상에서의 이동력을 30% 증가시켜 줍니다."
정찰	"{초급 정찰}

초급 정찰은 가시거리를 1단위 늘려 줍니다."	"{중급 정찰}

중급 정찰은 가시거리를 2단위 늘려 줍니다."	"{고급 정찰}

고급 정찰은 가시거리를 3단위 늘려 줍니다."
외교술	"{초급 외교술}

초급 외교술은 당신의 군대보다 약한 몬스터들과 교섭을 가능하게 해주며, 항복비용을 20% 줄여 줍니다."	"{중급 외교술}

중급 외교술은 당신의 군대보다 약한 몬스터들과 교섭을 가능하게 해주며, 항복비용을 40% 줄여 줍니다."	"{고급 외교술}

고급 외교술은 당신의 군대보다 약한 몬스터들과 교섭을 가능하게 해주며, 항복비용을 60% 줄여 줍니다."
항해술	"{초급 항해술}

초급 항해술은 바다에서의 이동력을 50% 증가시켜 줍니다."	"{중급 항해술}

중급 항해술은 바다에서의 이동력을 100% 증가시켜 줍니다."	"{고급 항해술}

고급 항해술은 바다에서의 이동력을 150% 증가시켜 줍니다."
지휘력	"{초급 지휘력}

초급 지휘력은 영웅의 부대 사기치를 1 높여 줍니다."	"{중급 지휘력}

중급 지휘력은 영웅의 부대 사기치를 2 높여 줍니다."	"{고급 지휘력}

고급 지휘력은 영웅의 부대 사기치를 3 높여 줍니다."
지혜	"{초급 지혜}

초급 지혜는 3레벨 마법을 배울 수 있게 해 줍니다."	"{중급 지혜}

중급 지혜는 4레벨 마법을 배울 수 있게 해 줍니다."	"{고급 지혜}

고급 지혜는 5레벨 마법을 배울 수 있게 해 줍니다."
명상	"{초급 명상}

초급 명상은 주문 점수를 매일 2씩 회복시켜 줍니다."	"{중급 명상}

중급 명상은 주문 점수를 매일 3씩 회복시켜 줍니다."	"{고급 명상}

고급 명상은 주문 점수를 매일 4씩 회복시켜 줍니다."
행운	"{초급 행운}

초급 행운은 영웅의 행운을 1 올려 줍니다."	"{중급 행운}

중급 행운은 영웅의 행운을 2 올려 줍니다."	"{고급 행운}

고급 행운은 영웅의 행운을 3 올려 줍니다."
공성술	"{초급 공성술}

초급 공성술은 성 공격시 영웅이 투석기를 직접 조정하여, 보다 위력적으로 목표 사격을 할 수 있게 해 줍니다."	"{중급 공성술}

중급 공성술은 성 공격시 영웅이 투석기를 직접 조정하여, 보다 위력적으로 목표 사격을 두번 할 수 있게 해 줍니다."	"{고급 공성술}

고급 공성술은 성 공격시 영웅이 투석기를 직접 조정하여, 최고 데미지로 목표 사격을 두번 할 수 있게 해 줍니다."
독수리의 눈	"{초급 독수리의 눈}

초급 독수리의 눈은 40%의 확률로 전투시 적의 영웅이 사용하는 1, 2레벨 마법을 배울 수 있게 해 줍니다."	"{중급 독수리의 눈}

중급 독수리의 눈은 50%의 확률로 전투시 적의 영웅이 사용하는 1, 2, 3레벨 마법을 배울 수 있게 해 줍니다."	"{고급 독수리의 눈}

고급 독수리의 눈은 60%의 확률로 전투시 적의 영웅이 사용하는 1, 2, 3, 4레벨 마법을 배울 수 있게 해 줍니다."
심령술	"{초급 심령술}

초급 심령술은 전투에서 사망한 유닛수의 10%를 해골병사로 부활시켜 줍니다."	"{중급 심령술}

중급 심령술은 전투에서 사망한 유닛수의 20%를 해골병사로 부활시켜 줍니다."	"{고급 심령술}

고급 심령술은 전투에서 사망한 유닛수의 30%를 해골병사로 부활시켜 줍니다."
재산관리	"{초급 재산관리}

영웅이 하루에 금 125를 벌어들입니다."	"{중급 재산관리}

영웅이 하루에 금 250을 벌어들입니다."	"{고급 재산관리}

영웅이 하루에 금 500을 벌어들입니다."
불마법	"{초급 불마법}

초급 불마법은 영웅이 불마법을 사용할 때 주문 점수 소비를 줄여 줍니다."	"{중급 불마법}

중급 불마법은 영웅이 불마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 증가시켜 줍니다."	"{고급 불마법}

고급 불마법은 영웅이 불마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 최대로 증가시켜 줍니다."
대기마법	"{초급 대기마법}

초급 대기마법은 영웅이 대기마법을 사용할 때 주문 점수 소비를 줄여 줍니다."	"{중급 대기마법}

중급 대기마법은 영웅이 대기마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 증가시켜 줍니다."	"{고급 대기마법}

고급 대기마법은 영웅이 대기마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 최대로 증가시켜 줍니다."
물마법	"{초급 물마법}

초급 물마법은 영웅이 물마법을 사용할 때 주문 점수 소비를 줄여 줍니다."	"{중급 물마법}

중급 물마법은 영웅이 물마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 증가시켜 줍니다."	"{고급 물마법}

고급 물마법은 영웅이 물마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 최대로 증가시켜 줍니다."
대지마법	"{초급 대지마법}

초급 대지마법은 영웅이 대지마법을 사용할 때 주문 점수 소비를 줄여 줍니다."	"{중급 대지마법}

중급 대지마법은 영웅이 대지마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 증가시켜 줍니다."	"{고급 대지마법}

고급 대지마법은 영웅이 대지마법을 사용할 때 주문 점수 소비를 줄여주며, 마법의 효과를 최대로 증가시켜 줍니다."
교육	"{초급 교육}

초급 교육은 영웅들간에 자신이 보유한 1, 2레벨 마법을 서로 교환할 수 있게 해 줍니다."	"{중급 교육}

중급 교육은 영웅들간에 자신이 보유한 1, 2, 3레벨 마법을 서로 교환할 수 있게 해 줍니다."	"{고급 교육}

고급 교육은 영웅들간에 자신이 보유한 1, 2, 3, 4레벨 마법을 서로 교환할 수 있게 해 줍니다."
전술	"{초급 전술}

초급 전술은 전투 개시전에 부대를 3칸 이내의 범위에 다시 배치할 수 있게 해 줍니다."	"{중급 전술}

중급 전술은 전투 개시전에 부대를 5칸 이내의 범위에 다시 배치할 수 있게 해 줍니다."	"{고급 전술}

고급 전술은 전투 개시전에 부대를 7칸 이내의 범위에 다시 배치할 수 있게 해 줍니다."
