		
Wall Section	"Hit Points (max is 3, only walls, towers, the gate, and the main building are used, unused must be 0)"	
Castle		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2	
본성	2	
본성 엄호물	0	
하단 탑 엄호물	0	
상단 탑 엄호물	0	

Rampart		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2	
주건물	2	
주건물 엄호물	0	
하단 탑 엄호물	0	
상단 탑 엄호물	0	

Tower		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2	
주건물	2	
주건물 엄호물	0	
하단 탑 엄호물	0	
상단 탑 엄호물	0	

Inferno		
부교	0	
부교줄	0
해자	0
해자 둘레	0
내벽	0
상단 탑	2
상단 벽	2
상단 부벽	0
중상단 벽	2
관문	2
중하단 벽	2
하단 부벽	0
하단 벽	2
하단 탑	2
주건물	2
주건물 엄호물	0
하단 탑 엄호물	0
상단 탑 엄호물	0	

Necropolis		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2	
주건물	2	
주건물 엄호물	0	
하단 탑 엄호물	0	
상단 탑 엄호물	0	

Dungeon		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2	
주건물	2	
주건물 엄호물	0	
하단 탑 엄호물	0	
상단 탑 엄호물	0	

Stronghold		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2	
주건물	2	
주건물 엄호물	0	
하단 탑 엄호물	0	
상단 탑 엄호물	0	

Fortress		
부교	0	
부교줄	0
해자	0
해자 둘레	0
내벽	0
상단 탑	2
상단 벽	2
상단 부벽	0
중상단 벽	2
관문	2
중하단 벽	2
하단 부벽	0
하단 벽	2
하단 탑	2
주건물	2
주건물 엄호물	0
하단 탑 엄호물	0
상단 탑 엄호물	0	

Conflux		
부교	0	
부교줄	0	
해자	0	
해자 둘레	0	
내벽	0	
상단 탑	2	
상단 벽	2	
상단 부벽	0	
중상단 벽	2	
관문	2	
중하단 벽	2	
하단 부벽	0	
하단 벽	2	
하단 탑	2
주건물	2
주건물 엄호물	0
하단 탑 엄호물	0
상단 탑 엄호물	0
