Region Name	Campaign Name	Scenario Name	Map Area Name
"{사우스포트}

캐서린 여왕은 브라카다 왕국의 개빈 마그누스 왕의 협력을 구하고자 그곳으로 떠났고, 나머지 장군들은 이 지역 이곳저곳에 퍼져 있습니다. 작전의 근거지로 삼을 기지를 건설하고, 시민군을 모집하고, 나이혼의 침공 정도를 알아본 후, 그들의 침공 경로를 알아내십시오."	Good1	G1a	Map Area 1
"{천사의 문}

페어 페더스 마을 근처에 천사들이 있다는 보고를 확인하십시오. 만약 그 소문이 사실이라면, 우리는 그 마을의 안전을 지켜야 하며, 또한 천사들을 설득하여 우리편으로 만들어야 합니다."	Good1	G1b	Map Area 2
"{그리핀 절벽}

에라시아 근방의 그리핀들이 서식하는 그리핀 절벽 지역은 현재 나이혼과 크리건의 동맹군이 점령하고 있는 상황입니다. 수십년 전, 그리핀들은 에라시아 건국에서 핵심적 역할을 담당했으며, 오늘날은 에라시아 수복의 핵심적 역할을 담당하고 있습니다."	Good1	G1c	Map Area 3
"{배틀스테드}

에라시아 해방을 위해 우리가 가장 먼저 해야할 일은 수도인 스테드윅을 나이혼의 손아귀로 부터 수복하는 것입니다.  하지만 스테드윅 계곡으로 통하는 길목을 던젼 오버로드들이 차단하고 있기 때문에, 스테드윅의 수복은 그리 용이하지는 않을 겁니다."	Good2	G2a	Map Area 1
"{에오폴}

에오폴의 최고 통치자인 루시퍼 크리건 3세의 편지가 캐서린 여왕의 궁전으로 날아들었습니다. 그는 캐서린의 남편이며 앙로스의 왕인 롤랜드 아이언피스트를 인질로 잡고 있으며, 몸값으로 100만 금을 요구하고 있습니다."	Good2	G2b	Map Area 2
"{마쉬랜드와 힐브릿지}

브라카다의 개빈 마그누스 왕은 침략자인 타탈리아와 크룰로드의 손아귀로부터 에라시아 서쪽 지역을 수복하는 일을 돕겠다고 합니다. 이제 침략자들에게 본때를 보여줄 시간입니다."	Good2	G2c	Map Area 3
"{그레인리치와 파이어코스트}

우리는 이제서야 에라시아가 나이혼과 에오폴에게 당한 원인을 찾았습니다. 침략자들은 나이혼 해협 지하로 터널을 파고 에라시아 해안가의 드워프 동굴로 연결한 것입니다. 이제 우리는 그들을 다시 이 터널로 밀어넣어야만 합니다. 이번에 그들은 자신들의 침공 경로였던 이 터널을 퇴각로로 사용하게 될 것입니다."	Good2	G2d	Map Area 4
"{마쉬랜드}

당신은 타탈리아의 트랄로스크 왕으로부터 용병의 제의를 받았습나다. 에라시아가 혼란에 빠진 틈을 이용하여 그는 세력을 확장하려고 합니다."	Neutral1	N1a	Map Area 1
"{마인웰}

크룰로드의 지도자인 보라거스 공작은 당신에게 용병으로 고용하기를 원합니다. 당신은 그의 용병대장으로서 에라시아 영내를 습격해야 합니다. 크룰로드가 전쟁을 준비할 만큼의 충분한 금을 약탈하십시오."	Neutral1	N1b	Map Area 2
"{힐브릿지}

타탈리아의 트랄로스크 왕과 크룰로드의 보라거스 공작, 이 두명의 지도자가 동시에 당신을 고용하려고 합니다. 이 두 세력은 자신들 사이에 위치한 마지막 땅덩이를 놓고 대등하게 대립하고 있습니다. 아이러니칼 하게도 이 땅은 별로 쓸모없는 땅입니다. 이제 당신은 어느 편을 위해 싸울지 선택해야 합니다."	Neutral1	N1c	Map Area 3
